Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,LeBron James,30.0,CLE,SF,20.0,20.0,844.0,227.0,544.0,0.417,25.0,110.0,0.227,202.0,434.0,0.465,0.44,122.0,167.0,0.731,37.0,189.0,226.0,169.0,33.0,21.0,82.0,58.0,601.0,3.0,
2.0,Stephen Curry,26.0,GSW,PG,21.0,21.0,826.0,200.0,439.0,0.456,98.0,232.0,0.422,102.0,207.0,0.493,0.567,96.0,115.0,0.835,20.0,85.0,105.0,134.0,39.0,3.0,82.0,47.0,594.0,0.0,
3.0,James Harden,25.0,HOU,SG,17.0,17.0,636.0,129.0,294.0,0.439,41.0,107.0,0.383,88.0,187.0,0.471,0.509,163.0,178.0,0.916,12.0,85.0,97.0,128.0,28.0,7.0,77.0,49.0,462.0,1.0,
4.0,Klay Thompson,24.0,GSW,SG,21.0,21.0,761.0,149.0,334.0,0.446,57.0,146.0,0.39,92.0,188.0,0.489,0.531,36.0,45.0,0.8,9.0,72.0,81.0,54.0,16.0,19.0,41.0,64.0,391.0,0.0,
5.0,Blake Griffin,25.0,LAC,PF,14.0,14.0,557.0,140.0,274.0,0.511,1.0,7.0,0.143,139.0,267.0,0.521,0.513,76.0,106.0,0.717,38.0,140.0,178.0,86.0,14.0,14.0,45.0,43.0,357.0,3.0,
6.0,Draymond Green,24.0,GSW,PF,21.0,21.0,784.0,100.0,240.0,0.417,24.0,91.0,0.264,76.0,149.0,0.51,0.467,64.0,87.0,0.736,46.0,166.0,212.0,109.0,38.0,25.0,58.0,89.0,288.0,1.0,
7.0,Dwight Howard,29.0,HOU,C,17.0,17.0,574.0,105.0,182.0,0.577,0.0,0.0,,105.0,182.0,0.577,0.577,68.0,165.0,0.412,62.0,176.0,238.0,20.0,23.0,39.0,37.0,60.0,278.0,0.0,
8.0,Jimmy Butler,25.0,CHI,SG,12.0,12.0,506.0,94.0,213.0,0.441,28.0,72.0,0.389,66.0,141.0,0.468,0.507,59.0,72.0,0.819,18.0,49.0,67.0,38.0,29.0,9.0,21.0,27.0,275.0,0.0,
9.0,Jeff Teague,26.0,ATL,PG,16.0,16.0,529.0,98.0,239.0,0.41,21.0,65.0,0.323,77.0,174.0,0.443,0.454,52.0,60.0,0.867,10.0,41.0,51.0,107.0,24.0,7.0,43.0,34.0,269.0,0.0,
10.0,Chris Paul,29.0,LAC,PG,12.0,12.0,445.0,95.0,189.0,0.503,27.0,65.0,0.415,68.0,124.0,0.548,0.574,48.0,51.0,0.941,7.0,46.0,53.0,105.0,22.0,3.0,26.0,37.0,265.0,0.0,
11.0,Kyrie Irving,22.0,CLE,PG,13.0,13.0,464.0,81.0,185.0,0.438,27.0,60.0,0.45,54.0,125.0,0.432,0.511,58.0,69.0,0.841,10.0,37.0,47.0,50.0,17.0,11.0,20.0,29.0,247.0,0.0,
12.0,Derrick Rose,26.0,CHI,PG,12.0,12.0,454.0,93.0,235.0,0.396,23.0,66.0,0.348,70.0,169.0,0.414,0.445,35.0,39.0,0.897,13.0,45.0,58.0,78.0,14.0,6.0,38.0,22.0,244.0,0.0,
13.0,Paul Millsap,29.0,ATL,PF,16.0,15.0,566.0,85.0,209.0,0.407,15.0,49.0,0.306,70.0,160.0,0.438,0.443,58.0,78.0,0.744,36.0,103.0,139.0,55.0,25.0,14.0,34.0,52.0,243.0,0.0,
14.0,Bradley Beal,21.0,WAS,SG,10.0,10.0,418.0,81.0,200.0,0.405,23.0,63.0,0.365,58.0,137.0,0.423,0.463,49.0,59.0,0.831,14.0,41.0,55.0,46.0,16.0,7.0,26.0,19.0,234.0,0.0,
15.0,DeMarre Carroll,28.0,ATL,SF,16.0,16.0,558.0,86.0,177.0,0.486,29.0,72.0,0.403,57.0,105.0,0.543,0.568,32.0,41.0,0.78,26.0,71.0,97.0,32.0,18.0,5.0,15.0,36.0,233.0,0.0,
16.0,Al Horford,28.0,ATL,C,16.0,16.0,522.0,107.0,211.0,0.507,2.0,9.0,0.222,105.0,202.0,0.52,0.512,15.0,20.0,0.75,40.0,98.0,138.0,59.0,13.0,23.0,25.0,34.0,231.0,0.0,
17.0,J.R. Smith,29.0,CLE,SG,18.0,4.0,560.0,83.0,206.0,0.403,51.0,142.0,0.359,32.0,64.0,0.5,0.527,14.0,20.0,0.7,9.0,76.0,85.0,22.0,17.0,10.0,15.0,54.0,231.0,0.0,
18.0,Josh Smith,29.0,HOU,PF,17.0,8.0,396.0,85.0,194.0,0.438,27.0,71.0,0.38,58.0,123.0,0.472,0.508,32.0,74.0,0.432,26.0,70.0,96.0,46.0,9.0,17.0,38.0,41.0,229.0,0.0,
19.0,Trevor Ariza,29.0,HOU,SF,17.0,17.0,655.0,75.0,176.0,0.426,36.0,96.0,0.375,39.0,80.0,0.488,0.528,38.0,42.0,0.905,18.0,91.0,109.0,44.0,30.0,2.0,23.0,51.0,224.0,0.0,
20.0,Harrison Barnes,22.0,GSW,SF,21.0,21.0,681.0,88.0,200.0,0.44,22.0,62.0,0.355,66.0,138.0,0.478,0.495,25.0,34.0,0.735,45.0,65.0,110.0,32.0,17.0,11.0,22.0,45.0,223.0,0.0,
21.0,Andre Iguodala,31.0,GSW,SF,21.0,3.0,635.0,81.0,171.0,0.474,29.0,82.0,0.354,52.0,89.0,0.584,0.558,27.0,65.0,0.415,16.0,78.0,94.0,75.0,25.0,7.0,14.0,42.0,218.0,0.0,Finals MVP-1
22.0,Marc Gasol,30.0,MEM,C,11.0,11.0,416.0,71.0,180.0,0.394,0.0,2.0,0.0,71.0,178.0,0.399,0.394,75.0,88.0,0.852,19.0,94.0,113.0,49.0,10.0,19.0,16.0,33.0,217.0,0.0,
23.0,Timofey Mozgov,28.0,CLE,C,20.0,20.0,529.0,74.0,148.0,0.5,0.0,0.0,,74.0,148.0,0.5,0.5,64.0,81.0,0.79,57.0,89.0,146.0,13.0,8.0,36.0,37.0,57.0,212.0,0.0,
